"ID","Type","Character","Text","NextID","Choices","ForceSelect","DeleteChoices","SealChoices"
"CH1_0001","LINE","아린","안녕 오늘 도서관에서 볼래","CH1_0002","","","",""
"CH1_0002","LINE","","어디로 갈까","","도서관으로 간다 => CH1_0003 | 카페로 간다 => CH1_0004","cursor: 도서관으로 간다","",""
"CH1_0003","LINE","아린","좋아 도서관에서 보자","CH1_0005","","","",""
"CH1_0004","LINE","","카페 향이 좋다 오늘은 쉬자","CH1_0006","","","",""
"CH1_0005","LINE","","도서관은 조용하고 서늘하다","CH1_0007","","","",""
"CH1_0006","LINE","","카페는 북적이지만 편안하다","CH1_0007","","","",""
"CH1_0007","LINE","","누군가를 부를까 혼자 볼까","","친구를 부른다 => CH1_0008 | 혼자 둘러본다 => CH1_0009","","",""
"CH1_0008","LINE","친구","오랜만이네 여기 있었구나","CH1_0010","","","",""
"CH1_0009","LINE","","혼자 걸으니 생각이 정리된다","CH1_0010","","","",""
"CH1_0010","LINE","","배가 고프다","","매점으로 간다 => CH1_0011 | 그냥 참는다 => CH1_0012","","",""
"CH1_0011","LINE","","빵 하나와 우유를 샀다","CH1_0013","","","",""
"CH1_0012","LINE","","조금 참아 보자","CH1_0013","","","",""
"CH1_0013","LINE","","수업 시간이 다가온다","CH1_0014","","","",""
"CH1_0014","LINE","","어디에 앉을까","","앞자리에 앉는다 => CH1_0015 | 창가에 앉는다 => CH1_0016 | 맨뒤에 앉는다 => CH1_0017","","","맨뒤에 앉는다"
"CH1_0015","LINE","","앞자리는 집중이 잘 된다","CH1_0018","","","",""
"CH1_0016","LINE","","창가 바람이 시원하다","CH1_0018","","","",""
"CH1_0017","LINE","","뒤쪽은 조금 산만하다","CH1_0018","","","",""
"CH1_0018","LINE","교수","질문 하나 해볼까","","손을 든다 => CH1_0019 | 눈을 피한다 => CH1_0020","cursor: 눈을 피한다","",""
"CH1_0019","LINE","","대답을 꽤 잘했다","CH1_0021","","","",""
"CH1_0020","LINE","","괜히 눈을 피했다 긴장된다","CH1_0021","","","",""
"CH1_0021","LINE","","수업이 끝났다 어디로 갈까","","도서관에 들른다 => CH1_0022 | 바로 귀가한다 => CH1_0023","","",""
"CH1_0022","LINE","","책을 반납하고 새 책을 빌린다","CH1_0024","","","",""
"CH1_0023","LINE","","바로 집으로 향한다","CH1_0024","","","",""
"CH1_0024","LINE","","저녁 시간 계획을 정하자","","카페에서 공부한다 => CH1_0025 | 공원 산책을 한다 => CH1_0026","","공원 산책을 한다",""
"CH1_0025","LINE","","카페의 잔잔한 음악이 집중을 돕는다","CH1_0027","","","",""
"CH1_0026","LINE","","산책길의 가로등이 따뜻하다","CH1_0027","","","",""
"CH1_0027","LINE","","메시지가 도착했다","","답장을 보낸다 => CH1_0028 | 무시한다 => CH1_0029","","","무시한다"
"CH1_0028","LINE","","짧게 안부를 전했다","CH1_0029","","","",""
"CH1_0029","LINE","","오늘 하루가 조용히 끝난다","CH1_END","","","",""
"CH1_END","END","","","","","","",""
